"20MICRONS","INE144J01027"
"LCCINFOTEC","INE938A01021"
"LEEL","INE245C01019"
"LFIC","INE850E01012"
"LGBBROSLTD","INE337A01034"
"LIBERTSHOE","INE557B01019"
"LICHSGFIN","INE115A01026"
"LINCOLN","INE405C01035"
"LINCPEN","INE802B01019"
"LINDEINDIA","INE473A01011"
"LITL","INE785C01048"
"LML","INE862A01015"
"LOKESHMACH","INE397H01017"
"LOTUSEYE","INE947I01017"
"LOVABLE","INE597L01014"
"LPDC","INE197J01017"
"LSIL","INE093R01011"
"LT","INE018A01030"
"LTI","INE214T01019"
"LTTS","INE010V01017"
"LUMAXIND","INE162B01018"
"LUMAXTECH","INE872H01019"
"LUPIN","INE326A01037"
"LUXIND","INE150G01020"
"LYCOS","INE425B01027"
"LYKALABS","INE933A01014"
"LYPSAGEMS","INE142K01011"
"M&M","INE101A01026"
"M&MFIN","INE774D01024"
"MAANALU","INE215I01019"
"MADHAV","INE925C01016"
"MADHUCON","INE378D01032"
"MADRASFERT","INE414A01015"
"MAGMA","INE511C01022"
"MAGNUM","INE387I01016"
"MAHABANK","INE457A01014"
"MAHASTEEL","INE451L01014"
"MAHINDCIE","INE536H01010"
"MAHLIFE","INE813A01018"
"MAHSCOOTER","INE288A01013"
"MAHSEAMLES","INE271B01025"
"MAITHANALL","INE683C01011"
"MAJESCO","INE898S01029"
"MALUPAPER","INE383H01017"
"MALWACOTT","INE272B01015"
"MANAKALUCO","INE859Q01017"
"MANAKCOAT","INE830Q01018"
"MANAKINDST","INE831Q01016"
"MANAKSIA","INE015D01022"
"MANAKSTEEL","INE824Q01011"
"MANALIPETC","INE201A01024"
"MANAPPURAM","INE522D01027"
"MANDHANA","INE087J01010"
"MANGALAM","INE584F01014"
"MANGCHEFER","INE558B01017"
"MANGLMCEM","INE347A01017"
"MANGTIMBER","INE805B01012"
"MANINDS","INE993A01026"
"MANINFRA","INE949H01023"
"MANPASAND","INE122R01018"
"MANUGRAPH","INE867A01022"
"MARALOVER","INE882A01013"
"MARATHON","INE182D01012"
"MARICO","INE196A01026"
"MARKSANS","INE750C01026"
"MARUTI","INE585B01010"
"MASKINVEST","INE885F01015"
"MASTEK","INE759A01021"
"MAWANASUG","INE636A01039"
"MAXINDIA","INE153U01017"
"MAXVIL","INE154U01015"
"MAYURUNIQ","INE040D01038"
"MAZDA","INE885E01034"
"MBECL","INE748A01016"
"MBLINFRA","INE912H01013"
"MCDHOLDING","INE836H01014"
"MCDOWELL-N","INE854D01016"
"MCLEODRUSS","INE942G01012"
"MCX","INE745G01035"
"MEGASOFT","INE933B01012"
"MEGH","INE974H01013"
"MELSTAR","INE817A01019"
"MENONBE","INE071D01033"
"MEP","INE776I01010"
"MERCATOR","INE934B01028"
"MERCK","INE199A01012"
"METALFORGE","INE425A01011"
"METKORE","INE592I01029"
"MFSL","INE180A01020"
"MGL","INE002S01010"
"MHRIL","INE998I01010"
"MIC","INE287C01029"
"MINDACORP","INE842C01021"
"MINDAIND","INE405E01023"
"MINDTECK","INE110B01017"
"MINDTREE","INE018I01017"
"MIRCELECTR","INE831A01028"
"MIRZAINT","INE771A01026"
"MMFL","INE227C01017"
"MMTC","INE123F01029"
"MOHITIND","INE954E01012"
"MOIL","INE490G01020"
"MOLDTECH","INE835B01035"
"MOLDTKPAC","INE893J01029"
"MONNETISPA","INE743C01013"
"MONSANTO","INE274B01011"
"MONTECARLO","INE950M01013"
"MORARJEE","INE161G01027"
"MOREPENLAB","INE083A01026"
"MOSERBAER","INE739A01015"
"MOTHERSUMI","INE775A01035"
"MOTILALOFS","INE338I01027"
"MOTOGENFIN","INE861B01015"
"MPHASIS","INE356A01018"
"MPSLTD","INE943D01017"
"MRF","INE883A01011"
"MRO-TEK","INE398B01018"
"MRPL","INE103A01014"
"MSPL","INE752G01015"
"MTEDUCARE","INE472M01018"
"MTNL","INE153A01019"
"MUKANDENGG","INE022B01014"
"MUKANDLTD","INE304A01026"
"MUKTAARTS","INE374B01019"
"MUNJALAU","INE672B01032"
"MUNJALSHOW","INE577A01027"
"MURUDCERA","INE692B01014"
"MUTHOOTCAP","INE296G01013"
"MUTHOOTFIN","INE414G01012"
"MVL","INE744I01034"
"NAGAAGRI","INE295D01020"
"NAGAFERT","INE454M01024"
"NAGAROIL","INE453M01018"
"NAGREEKCAP","INE245I01016"
"NAGREEKEXP","INE123B01028"
"NAHARCAP","INE049I01012"
"NAHARINDUS","INE289A01011"
"NAHARPOLY","INE308A01027"
"NAHARSPING","INE290A01027"
"NAKODA","INE559B01023"
"NATCOPHARM","INE987B01026"
"NATHBIOGEN","INE448G01010"
"NATIONALUM","INE139A01034"
"NATNLSTEEL","INE088B01015"
"NAUKRI","INE663F01024"
"NAVINFLUOR","INE048G01018"
"NAVKARCORP","INE278M01019"
"NAVNETEDUL","INE060A01024"
"NBCC","INE095N01023"
"NBIFIN","INE365I01012"
"NBVENTURES","INE725A01022"
"NCC","INE868B01028"
"NCLIND","INE732C01016"
"NDGL","INE756C01015"
"NDL","INE875G01030"
"NDTV","INE155G01029"
"NECCLTD","INE553C01016"
"NECLIFE","INE023H01027"
"NELCAST","INE189I01024"
"NELCO","INE045B01015"
"NESCO","INE317F01027"
"NESTLEIND","INE239A01016"
"NET4","INE553E01012"
"NETWORK18","INE870H01013"
"NEULANDLAB","INE794A01010"
"NEXTMEDIA","INE747B01016"
"NFL","INE870D01012"
"NH","INE410P01011"
"NHPC","INE848E01016"
"NIBL","INE047O01014"
"NICCO","INE241C01026"
"NIITLTD","INE161A01038"
"NIITTECH","INE591G01017"
"NILAINFRA","INE937C01029"
"NILKAMAL","INE310A01015"
"NIPPOBATRY","INE567A01010"
"NIRAJISPAT","INE326T01011"
"NITCO","INE858F01012"
"NITESHEST","INE639K01016"
"NITINFIRE","INE489H01020"
"NITINSPIN","INE229H01012"
"NKIND","INE542C01019"
"NLCINDIA","INE589A01014"
"NMDC","INE584A01023"
"NOCIL","INE163A01018"
"NOESISIND","INE141B01020"
"NOIDATOLL","INE781B01015"
"NORBTEAEXP","INE369C01017"
"NRAIL","INE740D01017"
"NRBBEARING","INE349A01021"
"NSIL","INE023A01030"
"NTL","INE333I01036"
"NTPC","INE733E01010"
"NUCLEUS","INE096B01018"
"NUTEK","INE318J01027"
"OBEROIRLTY","INE093I01010"
"OCCL","INE321D01016"
"OCL","INE290B01025"
"OFSS","INE881D01027"
"OIL","INE274J01014"
"OILCOUNTUB","INE591A01010"
"OISL","INE196J01019"
"OMAXAUTO","INE090B01011"
"OMAXE","INE800H01010"
"OMKARCHEM","INE474L01016"
"OMMETALS","INE239D01028"
"ONELIFECAP","INE912L01015"
"ONGC","INE213A01029"
"ONMOBILE","INE809I01019"
"ONWARDTEC","INE229A01017"
"OPTOCIRCUI","INE808B01016"
"ORBITCORP","INE628H01015"
"ORBTEXP","INE231G01010"
"ORCHIDPHAR","INE191A01019"
"ORICONENT","INE730A01022"
"ORIENTABRA","INE569C01020"
"ORIENTALTL","INE998H01012"
"ORIENTBANK","INE141A01014"
"ORIENTBELL","INE607D01018"
"ORIENTCEM","INE876N01018"
"ORIENTHOT","INE750A01020"
"ORIENTLTD","INE609C01024"
"ORIENTPPR","INE592A01026"
"ORIENTREF","INE743M01012"
"ORISSAMINE","INE725E01024"
"ORTEL","INE849L01019"
"ORTINLABSS","INE749B01012"
"PAEL","INE766A01018"
"PAGEIND","INE761H01022"
"PALREDTEC","INE218G01033"
"PANACEABIO","INE922B01023"
"PANAMAPET","INE305C01029"
"PANORAMUNI","INE194B01029"
"PAPERPROD","INE275B01026"
"PARABDRUGS","INE618H01016"
"PARACABLES","INE074B01023"
"PARAGMILK","INE883N01014"
"PARSVNATH","INE561H01026"
"PATELENG","INE244B01030"
"PATINTLOG","INE529D01014"
"PATSPINLTD","INE790C01014"
"PBAINFRA","INE160H01019"
"PCJEWELLER","INE785M01013"
"PDMJEPAPER","INE865T01018"
"PDPL","INE904D01019"
"PDSMFL","INE111Q01013"
"PDUMJEIND","INE105C01023"
"PDUMJEPULP","INE606A01024"
"PEARLPOLY","INE844A01013"
"PEL","INE140A01024"
"PENIND","INE932A01024"
"PENINLAND","INE138A01028"
"PENPEBS","INE455O01019"
"PERSISTENT","INE262H01013"
"PETRONENGG","INE742A01019"
"PETRONET","INE347G01014"
"PFC","INE134E01011"
"PFIZER","INE182A01018"
"PFOCUS","INE367G01038"
"PFS","INE560K01014"
"PGEL","INE457L01011"
"PGHH","INE179A01014"
"PGIL","INE940H01014"
"PHILIPCARB","INE602A01015"
"PHOENIXLL","INE455B01016"
"PHOENIXLTD","INE211B01039"
"PIDILITIND","INE318A01026"
"PIIND","INE603J01030"
"PILANIINVS","INE417C01014"
"PILITA","INE600A01035"
"PINCON","INE675G01018"
"PIONDIST","INE889E01010"
"PIONEEREMB","INE156C01018"
"PIRPHYTO","INE122J01015"
"PITTILAM","INE450D01021"
"PKTEA","INE431F01018"
"PLASTIBLEN","INE083C01022"
"PNB","INE160A01022"
"PNBGILTS","INE859A01011"
"PNBHOUSING","INE572E01012"
"PNC","INE392B01011"
"PNCINFRA","INE195J01029"
"POCHIRAJU","INE332G01032"
"PODDARHOUS","INE888B01018"
"PODDARMENT","INE371C01013"
"POKARNA","INE637C01017"
"POLARIS","INE763A01023"
"POLYMED","INE205C01021"
"POLYPLEX","INE633B01018"
"PONNIERODE","INE838E01017"
"POWERGRID","INE752E01010"
"POWERMECH","INE211R01019"
"PPAP","INE095I01015"
"PRABHAT","INE302M01033"
"PRADIP","INE495J01015"
"PRAENG","INE505C01016"
"PRAJIND","INE074A01025"
"PRAKASH","INE603A01013"
"PRAKASHCON","INE023M01027"
"PRAKASHSTL","INE696K01024"
"PRATIBHA","INE308H01022"
"PRECAM","INE484I01029"
"PRECOT","INE283A01014"
"PRECWIRE","INE372C01029"
"PREMEXPLN","INE863B01011"
"PREMIER","INE342A01018"
"PREMIERPOL","INE309M01012"
"PRESSMN","INE980A01023"
"PRESTIGE","INE811K01011"
"PRICOLLTD","INE726V01018"
"PRIMESECU","INE032B01021"
"PRISMCEM","INE010A01011"
"PROVOGE","INE968G01033"
"PROZONINTU","INE195N01013"
"PSB","INE608A01012"
"PSL","INE474B01017"
"PSPPROJECT","INE488V01015"
"PTC","INE877F01012"
"PTL","INE034D01031"
"PUNJABCHEM","INE277B01014"
"PUNJLLOYD","INE701B01021"
"PURVA","INE323I01011"
"PVP","INE362A01016"
"PVR","INE191H01014"
"QUESS","INE615P01015"
"QUICKHEAL","INE306L01010"
"QUINTEGRA","INE033B01011"
"RADAAN","INE874F01027"
"RADICO","INE944F01028"
"RADIOCITY","INE919I01016"
"RAIN","INE855B01025"
"RAINBOWPAP","INE028D01025"
"RAIREKMOH","INE313D01013"
"RAJESHEXPO","INE343B01030"
"RAJOIL","INE294G01018"
"RAJRAYON","INE533D01024"
"RAJSREESUG","INE562B01019"
"RAJTV","INE952H01027"
"RAJVIR","INE011H01014"
"RALLIS","INE613A01020"
"RAMANEWS","INE278B01020"
"RAMASTEEL","INE230R01027"
"RAMCOCEM","INE331A01037"
"RAMCOIND","INE614A01028"
"RAMCOSYS","INE246B01019"
"RAMKY","INE874I01013"
"RAMSARUP","INE005D01015"
"RANASUG","INE625B01014"
"RANEENGINE","INE222J01013"
"RANEHOLDIN","INE384A01010"
"RASOYPR","INE904G01038"
"RATNAMANI","INE703B01027"
"RAYMOND","INE301A01014"
"RBL","INE244J01017"
"RBLBANK","INE976G01028"
"RCF","INE027A01015"
"RCOM","INE330H01018"
"RDEL","INE542F01012"
"RECLTD","INE020B01018"
"REDINGTON","INE891D01026"
"REFEX","INE056I01017"
"REGENCERAM","INE277C01012"
"REIAGROLTD","INE385B01031"
"RELAXO","INE131B01039"
"RELCAPITAL","INE013A01015"
"RELIANCE","INE002A01018"
"RELIGARE","INE621H01010"
"RELINFRA","INE036A01016"
"REMSONSIND","INE474C01015"
"RENUKA","INE087H01022"
"REPCOHOME","INE612J01015"
"REPRO","INE461B01014"
"RESPONIND","INE688D01026"
"REVATHI","INE617A01013"
"RICOAUTO","INE209B01025"
"RIIL","INE046A01015"
"RJL","INE722H01016"
"RKDL","INE722J01012"
"RKFORGE","INE399G01015"
"RMCL","INE172H01014"
"RML","INE050H01012"
"ROHITFERRO","INE248H01012"
"ROHLTD","INE283H01019"
"ROLLT","INE927A01040"
"ROLTA","INE293A01013"
"ROSSELLIND","INE847C01020"
"RPGLIFE","INE105J01010"
"RPOWER","INE614G01033"
"RPPINFRA","INE324L01013"
"RSSOFTWARE","INE165B01029"
"RSWM","INE611A01016"
"RSYSTEMS","INE411H01032"
"RTNINFRA","INE834M01019"
"RTNPOWER","INE399K01017"
"RUBYMILLS","INE301D01026"
"RUCHINFRA","INE413B01023"
"RUCHIRA","INE803H01014"
"RUCHISOYA","INE619A01027"
"RUPA","INE895B01021"
"RUSHIL","INE573K01017"
"SABEVENTS","INE860T01019"
"SABTN","INE416A01036"
"SADBHAV","INE226H01026"
"SADBHIN","INE764L01010"
"SAGCEM","INE229C01013"
"SAIL","INE114A01011"
"SAKHTISUG","INE623A01011"
"SAKSOFT","INE667G01015"
"SAKUMA","INE190H01016"
"SALONA","INE498E01010"
"SALORAINTL","INE924A01013"
"SALSTEEL","INE658G01014"
"SALZERELEC","INE457F01013"
"SAMBHAAV","INE699B01027"
"SAMTEL","INE381A01016"
"SANCO","INE782L01012"
"SANDESH","INE583B01015"
"SANGAMIND","INE495C01010"
"SANGHIIND","INE999B01013"
"SANGHVIFOR","INE263L01013"
"SANGHVIMOV","INE989A01024"
"SANOFI","INE058A01010"
"SANWARIA","INE890C01046"
"SARDAEN","INE385C01013"
"SAREGAMA","INE979A01017"
"SARLAPOLY","INE453D01025"
"SASKEN","INE231F01020"
"SASTASUNDR","INE019J01013"
"SATHAISPAT","INE176C01016"
"SATIN","INE836B01017"
"SBIN","INE062A01020"
"SCHAND","INE807K01035"
"SCHNEIDER","INE839M01018"
"SCI","INE109A01011"
"SDBL","INE480C01012"
"SEAMECLTD","INE497B01018"
"SEINV","INE420C01042"
"SELAN","INE818A01017"
"SELMCL","INE105I01012"
"SEPOWER","INE735M01018"
"SEQUENT","INE807F01027"
"SERVALL","INE431L01016"
"SESHAPAPER","INE630A01016"
"SETCO","INE878E01021"
"SEZAL","INE955I01036"
"SFL","INE916U01025"
"SGFL","INE883G01018"
"SGL","INE353H01010"
"SHAHALLOYS","INE640C01011"
"SHAKTIPUMP","INE908D01010"
"SHALPAINTS","INE849C01026"
"SHANKARA","INE274V01019"
"SHANTIGEAR","INE631A01022"
"SHARDACROP","INE221J01015"
"SHARDAMOTR","INE597I01010"
"SHARONBIO","INE028B01029"
"SHEMAROO","INE363M01019"
"SHILPAMED","INE790G01031"
"SHILPI","INE510K01019"
"SHIRPUR-G","INE196B01016"
"SHIVAMAUTO","INE637H01024"
"SHIVTEX","INE705C01012"
"SHK","INE500L01026"
"SHOPERSTOP","INE498B01024"
"SHREECEM","INE070A01015"
"SHREEPUSHK","INE712K01011"
"SHREERAMA","INE879A01019"
"SHREYANIND","INE231C01019"
"SHREYAS","INE757B01015"
"SHRIPISTON","INE526E01018"
"SHRIRAMCIT","INE722A01011"
"SHRIRAMEPC","INE964H01014"
"SHYAMCENT","INE979R01011"
"SICAGEN","INE176J01011"
"SICAL","INE075B01012"
"SIEMENS","INE003A01024"
"SIGNET","INE529F01027"
"SIL","INE173A01025"
"SILINV","INE923A01015"
"SIMBHALS","INE748T01016"
"SIMPLEX","INE898F01018"
"SIMPLEXINF","INE059B01024"
"SINTEX","INE429C01035"
"SITASHREE","INE686I01011"
"SITINET","INE965H01011"
"SIYSIL","INE076B01010"
"SJVN","INE002L01015"
"SKFINDIA","INE640A01023"
"SKIL","INE429F01012"
"SKIPPER","INE439E01022"
"SKMEGGPROD","INE411D01015"
"SMARTLINK","INE178C01020"
"SMLISUZU","INE294B01019"
"SMPL","INE215G01021"
"SMSPHARMA","INE812G01025"
"SNOWMAN","INE734N01019"
"SOBHA","INE671H01015"
"SOFTTECHGR","INE863A01013"
"SOLARINDS","INE343H01029"
"SOMANYCERA","INE355A01028"
"SOMATEX","INE314C01013"
"SOMICONVEY","INE323J01019"
"SONASTEER","INE643A01035"
"SONATSOFTW","INE269A01021"
"SORILHOLD","INE126M01010"
"SORILINFRA","INE034H01016"
"SOTL","INE035D01012"
"SOUTHBANK","INE683A01023"
"SPAL","INE212I01016"
"SPARC","INE232I01014"
"SPCENET","INE970N01027"
"SPECIALITY","INE247M01014"
"SPENTEX","INE376C01020"
"SPHEREGSL","INE737B01033"
"SPIC","INE147A01011"
"SPICEMOBI","INE927C01020"
"SPLIL","INE978G01016"
"SPMLINFRA","INE937A01023"
"SPYL","INE268L01020"
"SQSBFSI","INE201K01015"
"SREEL","INE099F01013"
"SREINFRA","INE872A01014"
"SRF","INE647A01010"
"SRGINFOTEC","INE376A01032"
"SRHHYPOLTD","INE917H01012"
"SRIPIPES","INE943C01027"
"SRSLTD","INE219H01039"
"SRTRANSFIN","INE721A01013"
"SSWL","INE802C01017"
"STAMPEDE","INE224E01028"
"STAR","INE939A01011"
"STARCEMENT","INE460H01021"
"STARPAPER","INE733A01018"
"STCINDIA","INE655A01013"
"STEL","INE577L01016"
"STERLINBIO","INE324C01038"
"STERTOOLS","INE334A01023"
"STINDIA","INE090C01019"
"STRTECH","INE089C01029"
"SUBEX","INE754A01014"
"SUBROS","INE287B01021"
"SUDARSCHEM","INE659A01023"
"SUJANAUNI","INE216G01011"
"SUMEETINDS","INE235C01010"
"SUMMITSEC","INE519C01017"
"SUNCLAYLTD","INE105A01035"
"SUNDARAM","INE108E01023"
"SUNDARMFIN","INE660A01013"
"SUNDRMBRAK","INE073D01013"
"SUNDRMFAST","INE387A01021"
"SUNFLAG","INE947A01014"
"SUNILHITEC","INE305H01028"
"SUNPHARMA","INE044A01036"
"SUNTECK","INE805D01026"
"SUNTV","INE424H01027"
"SUPERHOUSE","INE712B01010"
"SUPERSPIN","INE662A01027"
"SUPPETRO","INE663A01017"
"SUPRAJIT","INE399C01030"
"SUPREMEIND","INE195A01028"
"SUPREMEINF","INE550H01011"
"SUPREMETEX","INE651G01027"
"SURANACORP","INE357D01010"
"SURANAIND","INE659D01019"
"SURANASOL","INE272L01022"
"SURANAT&P","INE130B01031"
"SURYALAXMI","INE713B01026"
"SURYAROSNI","INE335A01012"
"SUTLEJTEX","INE645H01019"
"SUVEN","INE495B01038"
"SUZLON","INE040H01021"
"SWANENERGY","INE665A01038"
"SWARAJENG","INE277A01016"
"SWELECTES","INE409B01013"
"SYMPHONY","INE225D01027"
"SYNCOM","INE602K01014"
"SYNDIBANK","INE667A01018"
"SYNGENE","INE398R01022"
"TAINWALCHM","INE123C01018"
"TAJGVK","INE586B01026"
"TAKE","INE142I01023"
"TALBROAUTO","INE187D01011"
"TALWALKARS","INE502K01016"
"TANLA","INE483C01032"
"TANTIACONS","INE388G01018"
"TARAJEWELS","INE799L01016"
"TARAPUR","INE747K01017"
"TARMAT","INE924H01018"
"TASTYBITE","INE488B01017"
"TATACHEM","INE092A01019"
"TATACHEM","INE344201012"
"TATACOFFEE","INE493A01027"
"TATACOMM","INE151A01013"
"TATAELXSI","INE670A01012"
"TATAGLOBAL","INE192A01025"
"TATAINVEST","INE672A01018"
"TATAMETALI","INE056C01010"
"TATAMOTORS","INE155A01022"
"TATAMTRDVR","IN9155A01020"
"TATAPOWER","INE245A01021"
"TATASPONGE","INE674A01014"
"TATASTEEL","INE081A01012"
"TBZ","INE760L01018"
"TCI","INE688A01022"
"TCIDEVELOP","INE662L01016"
"TCIEXP","INE586V01016"
"TCIFINANCE","INE911B01018"
"TCS","INE467B01029"
"TDPOWERSYS","INE419M01019"
"TEAMLEASE","INE985S01024"
"TECHIN","INE778A01021"
"TECHM","INE669C01036"
"TECHNO","INE286K01024"
"TECHNOFAB","INE509K01011"
"TERASOFT","INE482B01010"
"TEXINFRA","INE435C01024"
"TEXMOPIPES","INE141K01013"
"TEXRAIL","INE621L01012"
"TFCILTD","INE305A01015"
"TFL","INE804H01012"
"TGBHOTELS","INE797H01018"
"THANGAMAYL","INE085J01014"
"THEMISMED","INE083B01016"
"THERMAX","INE152A01029"
"THIRUSUGAR","INE409A01015"
"THOMASCOOK","INE332A01027"
"THOMASCOTT","INE480M01011"
"THYROCARE","INE594H01019"
"TI","INE133E01013"
"TIDEWATER","INE484C01022"
"TIIL","INE545H01011"
"TIJARIA","INE440L01017"
"TIL","INE806C01018"
"TIMESGTY","INE289C01025"
"TIMETECHNO","INE508G01029"
"TIMKEN","INE325A01013"
"TINPLATE","INE422C01014"
"TIPSINDLTD","INE716B01011"
"TIRUMALCHM","INE338A01016"
"TITAN","INE280A01028"
"TMRVL","INE759V01019"
"TNPETRO","INE148A01019"
"TNPL","INE107A01015"
"TNTELE","INE141D01018"
"TODAYS","INE944B01019"
"TOKYOPLAST","INE932C01012"
"TORNTPHARM","INE685A01028"
"TORNTPOWER","INE813H01021"
"TPLPLASTEH","INE413G01014"
"TREEHOUSE","INE040M01013"
"TRENT","INE849A01020"
"TRF","INE391D01019"
"TRIDENT","INE064C01014"
"TRIGYN","INE948A01012"
"TRIL","INE763I01018"
"TRITURBINE","INE152M01016"
"TRIVENI","INE256C01024"
"TTKHLTCARE","INE910C01018"
"TTKPRESTIG","INE690A01010"
"TTL","INE592B01016"
"TTML","INE517B01013"
"TUBEINVEST","INE149A01025"
"TULSI","INE474I01012"
"TV18BRDCST","INE886H01027"
"TVSELECT","INE236G01019"
"TVSMOTOR","INE494B01023"
"TVSSRICHAK","INE421C01016"
"TVTODAY","INE038F01029"
"TVVISION","INE871L01013"
"TWL","INE615H01020"
"UBHOLDINGS","INE696A01025"
"UBL","INE686F01025"
"UCALFUEL","INE139B01016"
"UCOBANK","INE691A01018"
"UFLEX","INE516A01017"
"UFO","INE527H01019"
"UGARSUGAR","INE071E01023"
"UJAAS","INE899L01022"
"UJJIVAN","INE334L01012"
"ULTRACEMCO","INE481G01011"
"UMANGDAIRY","INE864B01027"
"UMESLTD","INE240C01028"
"UNICHEMLAB","INE351A01035"
"UNIENTER","INE037A01022"
"UNIONBANK","INE692A01016"
"UNIPLY","INE950G01015"
"UNITECH","INE694A01020"
"UNITEDBNK","INE695A01019"
"UNITEDTEA","INE458F01011"
"UNITY","INE466H01028"
"UNIVCABLES","INE279A01012"
"UPL","INE628A01036"
"URJA","INE550C01020"
"USHAMART","INE228A01035"
"USHERAGRO","INE235G01011"
"UTTAMSTL","INE699A01011"
"UTTAMSUGAR","INE786F01031"
"UVSL","INE292A01023"
"V2RETAIL","INE945H01013"
"VADILALIND","INE694D01016"
"VAIBHAVGBL","INE884A01019"
"VAKRANGEE","INE051B01021"
"VALUEIND","INE352A01017"
"VARDHACRLC","INE116G01013"
"VARDMNPOLY","INE835A01011"
"VASCONEQ","INE893I01013"
"VASWANI","INE590L01019"
"VBL","INE200M01013"
"VEDL","INE205A01025"
"VENKEYS","INE398A01010"
"VENUSREM","INE411B01019"
"VESUVIUS","INE386A01015"
"VETO","INE918N01018"
"VGUARD","INE951I01027"
"VHL","INE701A01023"
"VICEROY","INE048C01017"
"VIDEOIND","INE703A01011"
"VIDHIING","INE632C01026"
"VIJAYABANK","INE705A01016"
"VIJSHAN","INE806F01011"
"VIKASECO","INE806A01020"
"VIMALOIL","INE067D01015"
"VIMTALABS","INE579C01029"
"VINATIORGA","INE410B01029"
"VINDHYATEL","INE707A01012"
"VINYLINDIA","INE250B01029"
"VIPCLOTHNG","INE450G01024"
"VIPIND","INE054A01027"
"VIPULLTD","INE946H01037"
"VISAKAIND","INE392A01013"
"VISASTEEL","INE286H01012"
"VISESHINFO","INE861A01058"
"VISHNU","INE270I01014"
"VISUINTL","INE965A01016"
"VIVIDHA","INE370E01029"
"VIVIMEDLAB","INE526G01021"
"VLSFINANCE","INE709A01018"
"VMART","INE665J01013"
"VOLTAMP","INE540H01012"
"VOLTAS","INE226A01021"
"VRLLOG","INE366I01010"
"VSSL","INE050M01012"
"VSTIND","INE710A01016"
"VSTTILLERS","INE764D01017"
"VTL","INE825A01012"
"WABAG","INE956G01038"
"WABCOINDIA","INE342J01019"
"WALCHANNAG","INE711A01022"
"WANBURY","INE107F01022"
"WEBELSOLAR","INE855C01015"
"WEIZFOREX","INE726L01019"
"WEIZMANIND","INE080A01014"
"WELCORP","INE191B01025"
"WELENT","INE625G01013"
"WELINV","INE389K01018"
"WELSPUNIND","INE192B01031"
"WENDT","INE274C01019"
"WHEELS","INE715A01015"
"WHIRLPOOL","INE716A01013"
"WILLAMAGOR","INE210A01017"
"WINDMACHIN","INE052A01021"
"WINSOME","INE784B01035"
"WIPL","INE215F01023"
"WIPRO","INE075A01022"
"WOCKPHARMA","INE049B01025"
"WONDERLA","INE066O01014"
"WSI","INE100D01014"
"WSTCSTPAPR","INE976A01021"
"XCHANGING","INE692G01013"
"XLENERGY","INE183H01011"
"XPROINDIA","INE445C01015"
"YESBANK","INE528G01019"
"ZANDUREALT","INE719A01017"
"ZEEL","INE256A01028"
"ZEELEARN","INE565L01011"
"ZEEMEDIA","INE966H01019"
"ZENITHBIR","INE318D01020"
"ZENITHEXPO","INE058B01018"
"ZENSARTECH","INE520A01019"
"ZENTEC","INE251B01027"
"ZICOM","INE871B01014"
"ZODIACLOTH","INE206B01013"
"ZODJRDMKJ","INE077B01018"
"ZUARI","INE840M01016"
"ZUARIGLOB","INE217A01012"
"ZYDUSWELL","INE768C01010"
"ZYLOG","INE225I01026"
